X,EFiRAP,Multi-R,Sophon
157,69,60.49996666506941,93
158,71,60.99997425003646,113
159,69,62.24996824181113,94
160,69,62.249967986319504,93
161,71,60.99997035441349,102
162,70,60.49997291207311,98
163,71,61.24997003736098,95
164,72,61.249969782312405,105
165,70,62.9999679499177,91
166,70,61.24996947116128,97
167,69,60.49996434173529,100
168,69,61.24997102071276,108
169,70,62.99996346132387,99
170,69,61.49997000711929,100
171,69,63.74996560537284,106
172,70,61.24997023224472,96
173,70,62.74997009877775,104
174,71,62.99996218424131,95
175,71,62.99996212995066,103
176,71,61.4999671194803,100
177,71,61.499966940757375,97
178,71,61.74996130285895,109
179,70,62.249963988617054,103
180,69,62.99996059245463,99
181,68,61.74996124688931,98
182,69,61.66662945934101,88
183,70,61.74996074374825,103
184,70,61.66662870632129,112
185,70,62.24996289965436,92
186,69,61.49996568652233,94
187,72,61.74995961170583,108
188,70,59.49997052402347,98
189,68,63.74996180300752,99
190,70,63.4999590532492,102
191,70,61.749958849225465,103
192,70,62.24996348380802,100
193,70,62.24996316940053,101
194,71,60.99996188447176,97
195,70,61.74995740744309,95
196,70,61.499962477086655,97
197,69,62.249960265067344,93
198,69,62.74996175783673,98
199,70,62.749961540086176,100
