episode,episode_rewards,max_obj,suc_datas
764,6,266,80
765,7,265,92
766,6,271,80
767,6,271,80
768,6,271,80
769,7,251,94
770,9,329,134
771,6,264,80
772,9,341,134
773,8,325,118
774,9,337,134
775,9,338,134
776,9,333,134
777,9,332,134
778,9,293,134
779,9,293,134
780,9,293,134
781,9,329,134
782,13,322,218
783,14,313,234
784,9,332,134
785,9,329,134
786,9,306,134
787,9,320,134
788,10,319,146
789,12,294,170
790,9,311,134
791,11,304,158
792,11,294,158
793,9,309,134
794,9,305,134
795,9,299,134
796,4,238,64
797,4,238,64
798,4,238,64
799,4,238,64
800,4,243,64
801,4,238,64
802,4,236,64
803,4,237,64
804,4,238,64
805,4,232,60
806,4,214,60
807,4,236,64
808,4,229,64
809,8,253,104
810,4,260,64
811,6,267,88
812,4,260,64
813,2,254,20
814,2,264,20
815,4,260,64
816,4,260,64
817,4,217,64
818,4,296,64
819,6,307,88
820,4,289,64
821,4,296,64
822,4,228,64
823,4,228,64
824,4,228,64
825,4,228,64
826,4,228,64
827,6,241,88
828,6,242,88
829,4,228,64
830,2,204,20
831,2,177,20
832,2,183,20
833,6,245,88
834,4,228,64
835,4,237,64
836,9,331,164
837,9,335,164
838,5,237,100
839,3,229,60
840,4,230,60
841,4,230,60
842,4,235,60
843,4,230,60
844,4,266,60
845,8,322,144
846,9,332,164
847,9,332,164
848,9,332,164
849,8,333,144
850,4,266,80
851,5,233,54
852,4,236,60
853,4,264,64
854,6,251,88
855,4,200,64
856,4,204,64
857,4,273,64
858,4,280,64
859,4,214,64
860,6,301,104
861,4,248,80
862,8,316,142
863,11,345,182
864,12,340,194
865,9,340,156
866,14,372,234
867,14,370,234
868,14,370,234
869,14,370,234
870,14,370,234
871,9,342,134
872,14,370,234
873,9,353,134
874,9,290,134
875,9,288,134
876,9,289,134
877,10,305,146
878,9,292,134
879,14,343,234
880,10,353,170
881,6,301,80
882,9,337,134
883,9,344,134
884,14,343,234
885,16,346,258
886,13,331,220
887,9,348,134
888,9,347,134
889,8,343,120
890,9,347,134
891,9,347,134
892,9,334,134
893,9,343,134
894,9,343,134
895,4,279,56
896,6,281,80
897,6,189,80
898,7,254,102
899,9,292,134
900,9,304,134
901,9,340,134
902,9,341,134
903,11,335,158
904,9,343,134
905,8,335,118
906,6,288,80
907,6,227,80
908,6,227,80
909,7,239,94
910,4,223,56
911,6,188,80
912,9,231,118
913,9,288,134
914,9,288,134
915,9,347,134
916,9,337,134
917,9,295,134
918,9,297,134
919,8,276,118
920,9,291,134
921,9,291,134
922,9,291,134
923,9,297,134
924,11,325,158
925,7,306,94
926,5,264,70
927,5,262,70
928,6,307,86
929,9,343,134
930,9,347,134
931,9,342,134
932,9,322,134
933,9,322,134
934,9,317,134
935,11,301,158
936,5,200,70
937,6,197,80
938,6,197,80
939,6,197,80
940,6,233,80
941,9,296,134
942,9,296,134
943,8,296,120
944,9,296,134
945,9,293,134
946,4,249,64
947,4,252,64
948,9,293,134
949,9,294,134
950,2,181,20
951,2,213,20
952,4,243,64
953,4,238,64
954,2,231,20
955,3,244,40
956,4,253,60
957,1,259,20
958,2,273,40
959,3,279,56
960,4,283,64
961,3,283,48
962,4,273,64
963,8,292,144
964,4,295,64
965,0,248,0
966,0,248,0
967,0,256,0
968,0,278,0
969,4,294,64
970,4,297,64
971,3,262,60
972,6,284,110
973,7,321,128
974,9,326,164
975,8,319,144
976,3,341,48
977,4,339,64
978,4,339,64
979,4,337,64
980,8,367,112
981,4,348,64
982,4,348,64
983,4,345,64
984,6,365,88
985,8,364,112
986,9,318,116
987,9,270,114
988,8,241,92
989,3,315,52
990,12,301,154
991,12,301,154
992,8,359,112
993,8,353,112
994,8,357,112
995,9,332,116
996,8,340,112
997,8,306,112
998,8,303,112
999,8,301,112
1000,8,329,112
1001,8,330,112
1002,8,333,112
1003,8,294,112
1004,8,293,112
1005,8,302,112
1006,8,300,112
1007,8,295,112
1008,8,289,112
1009,8,293,112
1010,8,295,112
1011,8,294,112
1012,8,293,112
1013,8,291,112
1014,8,294,112
1015,8,294,112
1016,9,290,116
1017,4,263,48
1018,4,273,48
1019,6,244,70
1020,4,230,48
1021,4,233,48
1022,6,316,76
1023,8,362,112
1024,7,311,90
1025,7,322,90
1026,8,350,112
1027,8,348,112
1028,8,350,112
1029,7,327,100
1030,8,350,112
1031,3,274,36
1032,4,268,48
1033,3,273,36
1034,7,319,90
1035,4,182,48
1036,4,244,48
1037,7,332,100
1038,7,279,100
1039,7,269,100
1040,7,269,100
1041,7,266,100
1042,4,234,64
1043,4,228,64
1044,4,224,64
1045,4,229,64
1046,2,170,20
1047,2,169,20
1048,2,167,20
1049,2,169,20
1050,2,169,20
1051,2,176,20
1052,4,226,64
1053,4,227,64
1054,4,264,64
1055,4,244,64
1056,4,244,64
1057,2,221,20
1058,2,203,28
1059,0,200,0
1060,2,222,20
1061,2,224,20
1062,0,234,0
1063,4,241,64
1064,4,230,64
1065,4,241,64
1066,4,238,64
1067,4,234,64
1068,9,313,134
1069,9,302,134
1070,9,304,134
1071,9,292,134
1072,2,252,40
1073,5,206,70
1074,6,223,80
1075,6,233,80
1076,9,303,134
1077,14,344,234
1078,13,344,220
1079,9,369,134
1080,11,373,182
1081,11,373,182
1082,11,373,182
1083,9,370,134
1084,9,371,134
1085,8,359,118
1086,9,329,134
1087,9,334,134
1088,14,337,234
1089,13,347,218
1090,14,330,234
1091,9,364,134
1092,4,327,64
1093,9,351,134
1094,4,296,64
1095,0,278,0
1096,2,262,20
1097,1,294,16
1098,4,299,64
1099,2,271,20
1100,5,289,100
1101,8,342,144
1102,4,298,64
1103,4,277,64
1104,4,276,64
1105,4,276,64
1106,4,271,64
1107,4,273,64
1108,4,279,64
1109,4,278,64
1110,4,288,64
1111,4,290,64
1112,8,310,120
1113,8,295,120
1114,8,291,120
1115,8,287,120
1116,8,286,120
1117,8,288,120
1118,9,282,134
1119,8,276,118
1120,8,275,118
1121,5,227,70
1122,5,223,70
1123,9,295,134
1124,9,288,134
1125,9,295,134
1126,5,221,70
1127,5,255,70
1128,9,290,134
1129,9,324,134
1130,9,327,134
1131,9,332,134
1132,5,173,70
1133,5,197,70
1134,9,285,134
1135,9,279,134
1136,9,254,134
1137,9,296,134
1138,5,225,70
1139,5,258,70
1140,9,292,134
1141,4,253,56
1142,5,240,70
1143,5,236,70
1144,5,261,70
1145,5,268,70
1146,9,268,134
1147,9,274,134
1148,5,242,70
1149,9,279,134
1150,9,275,134
1151,9,276,134
1152,5,207,70
1153,5,209,70
1154,9,276,134
1155,9,305,134
1156,5,249,70
1157,5,229,70
1158,9,273,134
1159,9,273,134
1160,5,230,70
1161,5,233,70
1162,5,240,70
1163,5,248,70
1164,9,273,134
1165,5,221,70
1166,5,199,70
1167,3,243,60
1168,2,187,20
1169,4,220,64
1170,2,186,20
1171,2,179,20
1172,3,194,40
1173,2,155,20
1174,2,173,20
1175,4,220,64
1176,5,221,58
1177,10,307,146
1178,8,340,120
1179,9,304,134
1180,9,288,134
1181,9,288,134
1182,9,288,134
1183,9,280,134
1184,9,280,134
1185,9,280,134
1186,10,363,170
1187,9,325,134
1188,9,276,134
1189,8,290,118
1190,14,299,234
1191,14,298,234
1192,9,356,134
1193,9,359,134
1194,13,341,220
1195,14,372,234
1196,13,233,166
1197,11,203,138
1198,13,240,166
1199,13,237,166
1200,13,229,166
1201,11,291,142
1202,12,292,168
1203,9,271,114
1204,5,231,70
1205,9,319,134
1206,9,327,134
1207,12,306,170
1208,8,260,106
1209,9,324,118
1210,9,353,134
1211,13,321,182
1212,9,351,134
1213,9,311,134
1214,9,313,134
1215,9,312,134
1216,9,310,134
1217,9,310,134
1218,9,306,134
1219,9,311,134
1220,9,309,134
1221,10,322,146
1222,11,312,158
1223,11,312,158
1224,11,312,158
1225,9,307,134
1226,9,305,134
1227,9,299,134
1228,9,340,134
1229,9,336,134
1230,9,336,134
1231,5,265,70
1232,5,262,70
1233,5,283,70
1234,9,285,134
1235,9,254,134
1236,9,256,134
1237,5,163,70
1238,5,163,70
1239,5,162,70
1240,5,161,70
1241,5,227,70
1242,5,228,70
1243,9,298,134
1244,8,291,120
1245,9,298,134
1246,9,255,134
1247,9,241,134
1248,5,188,70
1249,5,151,70
1250,5,146,70
1251,5,168,70
1252,9,327,134
1253,9,334,134
1254,10,300,128
1255,11,310,142
1256,10,321,130
1257,11,309,142
1258,6,247,72
1259,6,241,72
1260,13,213,166
1261,13,219,166
1262,13,216,166
1263,13,216,166
1264,10,338,130
1265,12,315,170
1266,10,345,146
1267,10,347,146
1268,10,345,146
1269,6,272,82
1270,7,278,94
1271,7,276,94
1272,11,245,154
1273,10,286,146
1274,10,285,146
1275,6,232,82
1276,9,281,134
1277,8,261,106
1278,13,248,182
1279,9,284,134
1280,9,324,134
1281,10,320,146
1282,10,328,146
1283,10,322,146
1284,10,328,146
1285,10,313,146
1286,9,308,134
1287,9,313,134
1288,10,325,170
1289,6,257,72
1290,11,333,142
1291,11,318,142
1292,7,367,120
1293,5,318,76
1294,5,324,76
1295,7,347,100
1296,5,318,76
1297,9,331,156
1298,9,305,160
1299,4,276,80
1300,4,285,60
1301,4,245,60
1302,3,268,38
1303,4,267,64
1304,4,266,64
1305,4,261,64
1306,4,266,64
1307,4,266,64
1308,4,261,64
1309,9,312,164
1310,7,298,128
1311,9,300,164
1312,9,298,164
1313,9,302,164
1314,4,261,64
1315,5,285,76
1316,6,311,88
1317,7,323,100
1318,7,320,100
1319,7,319,100
1320,7,319,100
1321,7,319,100
1322,7,316,100
1323,8,328,112
1324,10,292,128
1325,8,339,112
1326,13,340,212
1327,14,321,216
1328,5,290,76
1329,9,335,156
1330,10,344,176
1331,4,270,72
1332,4,289,80
1333,5,280,100
1334,3,301,56
1335,4,298,60
1336,8,344,144
1337,9,341,164
1338,4,278,64
1339,9,346,164
1340,4,298,60
1341,4,275,60
1342,4,273,60
1343,3,266,40
1344,4,274,60
1345,4,274,60
1346,4,274,60
1347,4,268,60
1348,4,252,60
1349,4,233,48
1350,6,222,72
1351,5,243,60
1352,6,231,72
1353,10,287,128
1354,11,245,142
1355,10,233,128
1356,11,244,142
1357,11,239,142
1358,9,243,116
1359,11,245,142
1360,11,247,142
1361,10,238,128
1362,11,253,142
1363,11,259,142
1364,6,171,72
1365,6,171,72
1366,6,186,72
1367,10,326,160
1368,5,267,60
1369,12,318,188
1370,10,349,160
1371,10,368,130
1372,10,368,130
1373,11,316,142
1374,11,316,142
1375,11,341,142
1376,11,346,142
1377,11,331,142
1378,11,313,142
1379,11,312,142
1380,9,304,116
1381,6,328,84
1382,6,312,88
1383,6,312,88
1384,4,290,64
1385,4,268,64
1386,4,222,64
1387,9,259,134
1388,9,259,134
1389,9,258,134
1390,9,269,134
1391,9,257,134
1392,9,257,134
1393,5,164,70
1394,5,167,70
1395,5,171,70
1396,7,319,102
1397,9,314,134
1398,9,346,134
1399,9,344,134
1400,10,319,170
1401,13,337,218
1402,9,343,134
1403,14,324,234
1404,14,323,234
1405,9,346,134
1406,9,346,134
1407,5,296,70
1408,5,278,70
1409,9,333,134
1410,13,336,218
1411,7,310,104
1412,9,290,134
1413,5,235,70
1414,4,215,56
1415,5,209,70
1416,5,214,70
1417,5,207,70
1418,9,285,134
1419,9,286,134
1420,9,283,134
1421,9,288,134
1422,9,282,134
1423,14,297,234
1424,14,297,234
1425,14,296,234
1426,10,277,170
1427,10,284,170
1428,9,269,134
1429,9,266,134
1430,8,256,118
1431,9,304,134
1432,9,311,134
1433,9,309,134
1434,9,307,134
1435,9,306,134
1436,4,288,64
1437,4,266,64
1438,7,278,102
1439,3,266,48
1440,4,265,64
1441,4,263,64
1442,4,263,64
1443,4,263,64
1444,4,263,64
1445,2,172,20
1446,2,119,20
1447,2,112,20
1448,3,212,40
1449,4,212,60
1450,6,276,92
1451,3,254,48
1452,4,178,64
1453,4,193,64
1454,4,178,64
1455,9,260,134
1456,8,250,120
1457,8,262,118
1458,9,333,134
1459,8,320,118
1460,9,331,134
1461,9,335,134
1462,9,336,134
1463,9,343,134
1464,9,304,156
1465,10,321,170
1466,10,323,170
1467,10,321,170
1468,10,324,170
1469,13,347,218
1470,8,323,118
1471,13,337,220
1472,14,349,234
1473,14,348,234
1474,14,347,234
1475,14,349,234
1476,9,337,134
1477,9,309,134
1478,9,309,134
1479,9,318,134
1480,9,311,134
1481,9,307,134
1482,9,312,134
1483,9,312,134
1484,8,301,118
1485,9,326,164
1486,8,324,144
1487,2,141,20
1488,2,141,20
1489,2,141,20
1490,2,140,20
1491,2,143,20
1492,2,147,20
1493,3,157,42
1494,5,162,70
1495,5,162,70
1496,5,162,70
1497,5,174,70
1498,5,162,70
1499,5,194,70
1500,9,335,134
1501,9,326,134
1502,8,283,118
1503,9,273,134
1504,5,252,70
1505,5,238,70
1506,5,238,70
1507,5,238,70
1508,5,258,70
1509,5,287,70
1510,5,286,70
1511,5,281,70
1512,5,283,70
1513,5,287,70
1514,5,277,70
1515,5,281,70
1516,5,261,70
1517,5,257,70
1518,5,257,70
1519,5,259,70
1520,5,259,70
1521,5,261,70
1522,5,265,70
1523,5,265,70
1524,4,285,56
1525,5,289,70
1526,8,287,118
1527,5,240,70
1528,9,289,134
1529,5,262,70
1530,5,260,70
1531,5,256,70
1532,5,242,70
1533,5,239,70
1534,5,239,70
1535,5,243,70
1536,6,237,86
1537,5,242,70
1538,5,239,70
1539,5,239,70
1540,5,242,70
1541,6,252,86
1542,5,241,70
1543,5,192,70
1544,5,204,70
1545,5,269,70
1546,5,264,70
1547,5,268,70
1548,5,292,70
1549,5,285,70
1550,5,279,70
1551,5,214,70
1552,5,213,70
1553,5,208,70
1554,6,225,86
1555,5,210,70
1556,5,214,70
1557,4,215,56
1558,5,209,70
1559,5,287,70
1560,5,225,70
1561,5,211,70
1562,5,220,70
1563,5,210,70
1564,5,259,70
1565,5,264,70
1566,5,284,70
1567,5,286,70
1568,5,299,70
1569,5,296,70
1570,5,281,70
1571,5,298,70
1572,5,301,70
1573,11,310,142
1574,11,317,142
1575,16,303,221
1576,15,314,208
1577,10,339,130
1578,10,337,130
1579,10,334,130
1580,10,321,130
1581,10,300,130
1582,13,293,182
1583,10,305,130
1584,10,330,130
1585,13,324,182
1586,9,280,134
1587,13,318,182
1588,9,315,134
1589,9,240,134
1590,9,244,134
1591,9,246,134
1592,5,182,70
1593,5,150,70
1594,5,151,70
1595,5,153,70
1596,5,153,70
1597,5,150,70
1598,5,153,70
1599,5,195,70
1600,9,239,134
1601,9,236,134
1602,9,239,134
1603,9,239,134
1604,9,239,134
1605,9,237,134
1606,9,285,134
1607,9,316,134
1608,9,316,134
1609,9,331,134
1610,9,327,134
1611,7,248,90
1612,5,262,70
1613,7,257,90
1614,8,242,118
1615,9,251,134
1616,9,246,134
1617,9,251,134
1618,9,271,134
1619,9,306,134
1620,9,321,134
1621,9,303,134
1622,9,303,134
1623,5,268,70
1624,5,279,70
1625,5,271,70
1626,5,269,70
1627,5,267,70
1628,5,272,70
1629,5,272,70
1630,5,281,70
1631,6,300,80
1632,6,293,80
1633,7,291,96
1634,7,303,102
1635,7,296,102
1636,9,284,134
1637,6,221,80
1638,6,224,80
1639,6,229,80
1640,9,286,134
1641,9,286,134
1642,8,297,118
1643,9,289,134
1644,9,290,134
1645,9,299,134
1646,9,307,134
1647,9,307,134
1648,9,305,134
1649,9,305,134
1650,9,321,134
1651,9,333,134
1652,9,320,134
1653,9,266,134
1654,9,264,134
1655,8,296,120
1656,9,315,134
1657,9,261,134
1658,8,302,118
