0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-832,-695,-1054,-731,192,-413,6,-562,-402,-606,499,-163,-232,-737,-845,-661,-1093,-235
-867,-478,-1055,-657,121,-263,-144,-650,-270,-640,367,-109,-194,-842,-762,-600,-1057,-59
-843,-700,-1107,-529,304,-220,-188,-460,-242,-413,96,-341,-79,-782,-833,-611,-1135,-236
-871,-331,-1064,-428,128,-259,-61,-628,-328,-443,313,-249,-226,-437,-756,-407,-961,-306
-665,-634,-936,-630,-43,-130,-89,-518,-230,-315,186,-126,-226,-753,-743,-482,-845,-115
-842,-627,-1085,-369,120,-245,38,-650,-281,-478,484,-266,-23,-526,-860,-652,-1191,-221
-887,-762,-1208,-739,-205,-397,-143,-724,-474,-491,158,-222,-222,-1015,-913,-454,-952,5
-912,-794,-1143,-799,115,-437,-196,-694,-734,-823,227,-466,-338,-1003,-920,-716,-1157,-506
-1115,-844,-1128,-438,-169,-577,135,-676,-237,-341,445,-198,-196,-725,-744,-822,-1147,-129
-758,-699,-1018,-789,-306,-236,-259,-428,-523,-370,231,-413,-293,-760,-757,-604,-1016,-192
-555,-568,-1076,-544,-75,-199,-100,-498,-211,-386,161,-253,-86,-690,-766,-522,-922,-118
-804,-690,-847,-349,186,-318,167,-619,-76,-203,322,-301,-278,-668,-781,-556,-1065,84
-764,-928,-877,-680,286,-244,-29,-423,-441,-662,243,-419,-360,-694,-815,-502,-923,-191
-695,-696,-764,-497,-110,-321,-127,-166,-59,-361,264,-148,-174,-785,-821,-584,-1028,160
-706,-626,-872,-542,13,-191,-105,-522,-207,-253,50,-283,-494,-653,-774,-398,-945,-101
-789,-496,-908,-592,163,-453,-101,-465,-496,-543,347,-382,-256,-547,-880,-505,-850,-39
-655,-540,-850,-623,241,-76,81,-321,-189,-428,-184,-455,-289,-521,-823,-598,-1163,-59
-690,-417,-982,-665,106,-45,42,-536,-223,-308,364,-240,-385,-852,-818,-522,-953,-4
-822,-765,-925,-736,-33,-344,-17,-375,-307,-242,164,-327,-377,-855,-826,-532,-1029,-55
-776,-690,-1040,-691,-117,-158,-37,-461,92,-335,309,-264,-209,-709,-963,-635,-1175,62
-775,-596,-967,-950,-277,-195,63,-546,-337,-459,351,44,-254,-775,-810,-513,-1101,-14
-828,-815,-846,-927,-49,-414,-76,-595,-342,-454,107,-128,-351,-679,-829,-808,-1098,-121
-835,-693,-977,-988,134,-228,-110,-500,-335,-455,235,-161,-214,-817,-856,-630,-1069,-221
-968,-764,-877,-1017,125,-420,-18,-772,-345,-874,182,-416,-581,-593,-830,-354,-1052,36
-854,-498,-831,-948,-376,-310,-233,-809,-60,-492,-7,0,-365,-641,-665,-471,-1053,-102
-1002,-768,-1082,-760,-63,-398,-237,-537,-190,-542,245,-276,-477,-872,-863,-539,-1268,-200
-822,-532,-834,-771,41,-380,-109,-594,-313,-589,147,-98,-341,-835,-620,-512,-912,-170
-890,-539,-913,-698,-108,-541,-122,-648,-230,-550,158,-245,-508,-642,-623,-618,-1160,-161
-866,-451,-886,-730,78,-170,-110,-516,-79,-574,73,-208,-236,-653,-724,-506,-1077,-157
-934,-793,-982,-841,-47,-538,-124,-716,-355,-711,333,-146,-369,-792,-657,-692,-1281,-101
-706,-395,-920,-777,-101,-281,-208,-884,-214,-467,353,-167,-454,-736,-592,-506,-1151,-230
-775,-624,-982,-601,-92,-408,188,-462,-245,-697,300,-172,-345,-400,-634,-428,-1014,-128
-785,-572,-989,-820,-257,-585,-166,-835,-431,-569,204,53,-557,-666,-727,-534,-1102,-142
-971,-986,-1080,-1007,80,-576,-131,-928,-403,-565,455,-447,-608,-1140,-709,-741,-1495,-223
-777,-525,-1099,-818,-143,-133,70,-566,-124,-563,312,7,-467,-642,-894,-776,-1153,-226
-863,-847,-1134,-1079,-247,-536,-261,-844,-385,-901,158,-162,-622,-691,-691,-675,-1246,-317
-749,-440,-974,-926,55,-445,-254,-929,-299,-550,308,79,-436,-622,-657,-646,-1025,-181
-1016,-673,-1196,-935,-281,-363,-192,-887,-721,-708,-97,-3,-522,-631,-792,-689,-1207,-237
-792,-659,-1000,-812,-1,-283,-47,-586,-227,-535,-91,-419,-373,-476,-770,-794,-836,-321
-643,-594,-965,-707,-69,-481,-156,-670,67,-340,225,-157,-388,-749,-576,-520,-976,-301
-919,-731,-881,-839,-366,-445,-187,-836,-318,-616,322,-67,-520,-792,-728,-684,-948,-319
-721,-608,-837,-639,239,-270,-193,-387,-360,-515,205,-404,-372,-832,-625,-678,-968,-464
-989,-785,-1091,-1071,-30,-476,-147,-785,-772,-843,156,-363,-813,-774,-805,-849,-1095,-240
-815,-465,-1050,-944,257,-227,-124,-812,-467,-516,-116,-436,-386,-879,-700,-728,-1171,-322
-907,-887,-975,-1003,-391,-421,-122,-806,-381,-698,186,-296,-525,-813,-910,-680,-1090,-455
-757,-514,-858,-613,-120,-271,-54,-720,-293,-639,298,-165,-451,-495,-720,-588,-843,-187
-846,-444,-1018,-848,43,-284,-71,-715,-165,-419,89,-401,-424,-429,-653,-605,-1024,-158
-916,-816,-1138,-1011,-133,-382,-84,-604,-616,-734,-80,-120,-488,-878,-675,-634,-1230,-343
-837,-622,-980,-921,179,-370,8,-761,-417,-653,-192,-518,-626,-781,-746,-665,-954,-428
-771,-397,-910,-758,23,-290,-57,-461,-423,-527,67,-191,-380,-716,-603,-280,-788,-196
-807,-547,-933,-747,-82,-361,17,-471,-430,-452,121,-265,-452,-662,-602,-633,-898,-34
-785,-266,-940,-793,239,-235,-53,-435,-238,-520,154,-172,-424,-692,-671,-492,-858,-99
-738,-675,-1011,-669,87,-473,-83,-678,-308,-498,250,-178,-374,-659,-646,-670,-1116,-132
-941,-663,-730,-950,192,-400,-82,-407,-253,-555,-3,-323,-535,-616,-573,-656,-920,-243
-877,-572,-841,-592,258,-648,-100,-740,-402,-664,15,-151,-320,-840,-638,-505,-757,-146
-864,-593,-864,-325,137,-493,-140,-636,-186,-233,202,-146,-280,-834,-610,-253,-819,-107
-787,-462,-821,-321,-323,-355,-274,-416,-40,-172,78,-65,-278,-712,-784,-226,-934,-76
-1004,-584,-903,-466,-112,-463,-252,-595,-232,-585,56,-424,-310,-773,-848,-660,-962,-280
-945,-600,-858,-493,300,-263,-33,-272,-204,-458,102,-531,-538,-857,-784,-519,-944,-310
-937,-568,-950,-527,46,-257,-38,-431,-309,-520,284,-436,-450,-586,-922,-489,-874,-223
-822,-544,-1042,-453,-275,-468,-77,-326,-235,-382,217,-438,-353,-784,-766,-558,-878,-256
-864,-448,-1029,-457,21,-105,219,-595,-218,-379,428,-400,-382,-654,-798,-588,-1027,-279
-1006,-490,-1096,-334,137,-256,96,-619,-153,-476,361,-443,-321,-548,-808,-467,-884,-222
-951,-617,-1047,-620,-307,-450,-249,-738,-309,-387,381,-142,-295,-937,-808,-377,-981,-208
-971,-793,-1016,-500,-126,-358,-159,-491,-311,-431,281,-427,-381,-671,-811,-445,-804,-401
-976,-608,-858,-492,272,-374,-205,-502,-209,-627,336,-501,-97,-787,-778,-392,-893,-186
-1007,-694,-1041,-897,28,-356,-385,-317,-239,-683,-37,-518,-364,-823,-830,-427,-870,-164
-1001,-629,-956,-550,-25,-483,-242,-342,-104,-513,211,-394,-204,-770,-691,-500,-966,-227
-1000,-653,-1064,-726,181,-233,-148,-245,-267,-613,-2,-486,-546,-721,-711,-450,-1080,-136
-1069,-805,-1015,-354,-25,-495,-319,-522,-115,-445,29,-545,-268,-937,-825,-455,-756,-210
-1063,-704,-1013,-710,85,-474,-372,-588,-218,-544,259,-305,-260,-1079,-698,-651,-976,-182
-880,-758,-899,-431,489,-222,55,-430,-26,-106,348,-314,-285,-562,-628,-488,-920,-326
-825,-802,-793,-473,88,-566,-244,-228,-235,-496,-73,-483,-368,-984,-576,-444,-843,-283
-934,-661,-895,-637,426,-103,68,-514,-180,-461,523,-330,-300,-816,-565,-425,-886,-293
-753,-576,-954,-825,36,-395,-248,-299,-73,-473,106,-243,-240,-860,-736,-460,-822,-152
-933,-874,-988,-720,-21,-617,-182,-631,-283,-572,5,-329,-272,-960,-524,-764,-997,-180
-1203,-863,-1168,-884,-111,-543,-413,-799,-467,-963,143,-468,-451,-1001,-832,-736,-1246,-408
-1035,-731,-1036,-1242,336,-487,-472,-581,-415,-849,148,-428,-304,-988,-956,-650,-1160,-166
-1166,-930,-1140,-1169,469,-412,-492,-771,-627,-797,239,-124,-429,-896,-740,-829,-1159,-216
-1073,-839,-1011,-1016,17,-385,-210,-531,-329,-655,141,-143,-205,-886,-811,-635,-972,-188
-1085,-1068,-1151,-1282,137,-452,-241,-566,-715,-875,273,-350,-367,-900,-1041,-786,-1496,-148
-1154,-1000,-1162,-1051,17,-824,-596,-829,-718,-791,-79,-245,-390,-1054,-852,-710,-1316,-203
-1071,-978,-1157,-1066,-69,-543,-739,-646,-376,-632,306,-274,-466,-1156,-998,-776,-1292,-75
-1158,-823,-1301,-1322,86,-268,-315,-641,-661,-768,188,-249,-448,-1015,-992,-523,-1535,-103
-1239,-1010,-1278,-1310,-20,-629,-463,-697,-863,-1002,-63,-90,-798,-1050,-906,-860,-1461,98
-1121,-633,-1042,-1148,-108,-568,-471,-430,-581,-699,2,1,-304,-1049,-932,-784,-1149,-194
-1047,-1041,-1196,-1049,19,-516,-322,-577,-111,-536,-23,-140,-304,-930,-859,-848,-1114,-213
-1057,-697,-1367,-1202,243,-660,-406,-553,-750,-598,97,100,-391,-1142,-766,-805,-1239,-52
-1200,-1106,-1425,-1030,-7,-730,-534,-718,-907,-831,262,-117,-429,-1338,-888,-917,-1389,-120
-1332,-1135,-1585,-1398,-140,-918,-536,-813,-577,-637,433,-89,-667,-1223,-1087,-939,-1592,27
-1154,-759,-1396,-1127,142,-428,-316,-729,-562,-642,-127,-230,-435,-1092,-956,-897,-1353,-181
-1321,-1067,-1619,-1312,-217,-624,-332,-918,-656,-644,412,-74,-685,-1464,-1350,-659,-1624,103
-1072,-360,-1328,-998,-99,-370,-455,-382,-256,-369,-121,-28,-697,-1048,-793,-707,-1127,-51
-1185,-605,-1184,-796,80,-531,-362,-428,-117,-447,92,18,-338,-1134,-818,-675,-1267,-122
-1073,-934,-1160,-1094,75,-282,-127,-612,-477,-696,-74,-40,-813,-1093,-951,-699,-1240,-186
-988,-645,-1216,-870,56,-414,-167,-426,-255,-425,-85,-79,-482,-1125,-817,-416,-1101,-181
-1333,-1040,-1420,-1309,-91,-394,-257,-623,-554,-716,221,-107,-561,-1432,-1008,-683,-1617,43
-1002,-209,-1136,-806,327,-273,-462,-436,-191,-174,129,-257,-494,-1108,-662,-455,-1028,-160
-1138,-428,-1221,-967,9,-299,-200,-536,-135,-327,240,3,-344,-1079,-696,-741,-1239,31
-1095,-815,-1132,-921,-36,-163,-139,-566,-588,-679,82,-248,-242,-949,-853,-324,-1135,54
-1081,-736,-1287,-932,38,-596,-395,-460,-598,-787,-204,-232,-379,-1012,-829,-740,-1261,-133
-866,-440,-1055,-751,442,-214,-174,-252,36,-425,265,-229,-611,-792,-634,-535,-1051,50
-1008,-658,-1025,-738,276,-215,-70,-439,-230,-427,171,-138,-351,-802,-705,-435,-1023,-2
-1031,-685,-1260,-858,100,-354,-299,-392,-380,-520,36,-50,-322,-809,-707,-374,-1230,2
-1137,-785,-1355,-865,79,-520,-335,-700,-226,-537,27,-178,-589,-1065,-717,-680,-1150,-172
-908,-674,-1148,-811,-224,-504,-470,-218,-194,-553,15,-345,-547,-874,-795,-467,-949,-238
-963,-635,-1201,-892,200,-289,209,-504,-442,-562,178,-232,-826,-951,-732,-416,-1027,-145
-1114,-641,-1256,-952,207,-331,-172,-291,-203,-553,-231,-172,-517,-869,-699,-739,-1035,-142
-998,-753,-1155,-975,280,-250,-56,-380,-317,-503,107,-196,-128,-752,-734,-442,-1111,-233
-1121,-833,-1236,-1127,62,-492,-171,-638,-801,-667,-128,-153,-618,-840,-889,-949,-1109,-201
-1064,-578,-1189,-1026,-72,-358,-250,-452,-238,-655,30,-98,-293,-605,-701,-427,-1052,-303
-1283,-941,-1550,-1046,8,-424,-216,-772,-527,-697,20,-253,-590,-817,-968,-879,-1439,-270
-901,-739,-1255,-926,186,-330,-241,-378,-347,-520,-155,-228,-660,-754,-797,-614,-1131,-224
